Date,Open,High,Low,Close
2023-10-01,15.629,15.7375,15.348,15.426
2023-10-02,15.3505,15.419,15.0425,15.1095
2023-10-03,15.112,15.15,14.619,14.7645
2023-10-04,14.875,15.064,14.7665,14.921
2023-10-05,15.016,15.157,14.8055,15.023
2023-10-06,15.074,15.1435,14.834,14.8465
2023-10-07,14.878,14.9255,14.464,14.5705
2023-10-08,14.874,15.075,14.6615,14.737
2023-10-09,14.5965,14.7955,14.325,14.6635
2023-10-10,14.7,14.8,14.341,14.3475
2023-10-11,14.314,14.5395,14.2625,14.537
2023-10-12,14.6295,14.668,14.3195,14.472
2023-10-13,14.482,15.3,14.363,14.8625
2023-10-14,15,15.6125,15,15.516
2023-10-15,15.404,15.8465,15.386,15.6195
2023-10-16,15.591,15.65,15.376,15.483
2023-10-17,15.315,15.512,15.1315,15.3375
2023-10-18,15.4905,15.5755,15.19,15.1955
2023-10-19,15.2365,15.64,14.9665,15.589
2023-10-20,17.316,17.975,17.037001,17.7265
2023-10-21,17.502501,18.25,17.5005,18.223499
2023-10-22,18.0145,18.391001,18.0105,18.1775
2023-10-23,17.919001,18.375,17.911501,18.237499
2023-10-24,18.299999,18.940001,18.295,18.6945
