time,open,high,low,close
2020-08-10T01:00:00+01:00,5010.59,7199,5010.59,6229.19
2020-08-11T01:00:00+01:00,6229.16,6783.43,5680,6040.2
2020-08-12T01:00:00+01:00,6041,6117.51,5250,5749.62
2020-08-13T01:00:00+01:00,5749.62,5814.34,3000,5346.99
2020-08-14T01:00:00+01:00,5346.92,5346.92,4684.11,5016.14
2020-08-15T01:00:00+01:00,5016.26,5450,4158.57,5414.22
2020-08-16T01:00:00+01:00,5416.21,6750,5171.75,6660
2020-08-17T01:00:00+01:00,6676.25,9103.93,6340.28,8900
2020-08-18T01:00:00+01:00,8900.1,12821,8693,9655
2020-08-19T01:00:00+01:00,9655,12777,9600,12599.72
2020-08-20T01:00:00+01:00,12576.36,16668.99,11418.36,15275
2020-08-21T01:00:00+01:00,15321.68,15600,11777,12296.34
2020-08-22T01:00:00+01:00,12296.33,14426.46,11113.97,14034.28
2020-08-23T01:00:00+01:00,14024.29,14100,12000,12571.37
2020-08-24T01:00:00+01:00,12571.36,14500,12157.16,14466.02
2020-08-25T01:00:00+01:00,14490,14773.72,12729.16,13510.2
2020-08-26T01:00:00+01:00,13489.79,16364.43,13201,15677.91
2020-08-27T01:00:00+01:00,15677.91,15899.99,13960.43,14183.1
2020-08-28T01:00:00+01:00,14119.63,19500,14017.07,18848.99
2020-08-29T01:00:00+01:00,18781.52,27547.33,17829.53,27400
2020-08-30T01:00:00+01:00,27407.7,38855.31,26900,31677.95
2020-08-31T01:00:00+01:00,31667.25,39690,29689.41,34835.3
2020-09-01T01:00:00+01:00,34901.94,36922.53,31000,31951.5
2020-09-02T01:00:00+01:00,31950.9,32856.4,25530,32000
2020-09-03T01:00:00+01:00,31840.07,33359.99,27380.31,29400.07
2020-09-04T01:00:00+01:00,29400,31600,22811.63,27311.92
2020-09-05T01:00:00+01:00,27306.36,28749.99,18056.43,22193.5
2020-09-06T01:00:00+01:00,22100.19,25399.33,19400,23797.1
2020-09-07T01:00:00+01:00,23806.26,24650,20500,22985.3
2020-09-08T01:00:00+01:00,22959.99,23499.97,21054.07,22518.41
2020-09-09T01:00:00+01:00,22572.47,29363.97,21500,27500.03
2020-09-10T01:00:00+01:00,27551.46,34900,27455.81,34045.73
2020-09-11T01:00:00+01:00,34049.46,38333,31250,38146.99
2020-09-12T01:00:00+01:00,38093.39,43966.31,36205.94,43194.45
2020-09-13T01:00:00+01:00,43257.62,43317.18,32500,36893.01
2020-09-14T01:00:00+01:00,36850.05,42250.05,34765.31,39868.08
2020-09-15T01:00:00+01:00,39868.05,41537.28,35150,35380
2020-09-16T01:00:00+01:00,35334.16,37181.07,30571.07,34885.58
2020-09-17T01:00:00+01:00,34888.84,36709.99,29590.23,33258.34
2020-09-18T01:00:00+01:00,33231.76,34716.36,31250.14,33065.96
2020-09-19T01:00:00+01:00,33038.86,33168.31,27851,30932.7
2020-09-20T01:00:00+01:00,30919.05,30973,26200,28071.33
2020-09-21T01:00:00+01:00,28071.33,28500,21722.59,24045.53
2020-09-22T01:00:00+01:00,24045.53,26967.44,22727.38,25017.3
2020-09-23T01:00:00+01:00,25042.9,26300,21014.57,21191.4
2020-09-24T01:00:00+01:00,21203.18,25317.82,20275.1,25258.49
2020-09-25T01:00:00+01:00,25258.49,27549.38,23200,26807.53
2020-09-26T01:00:00+01:00,26807.31,31890,25963.43,31645.39
2020-09-27T01:00:00+01:00,31631.62,34204.24,28202,30621.02
2020-09-28T01:00:00+01:00,30631.08,31450,27549.12,28460.24
2020-09-29T01:00:00+01:00,28436.57,28896.52,23500,25039.35
2020-09-30T01:00:00+01:00,25040.41,25092.57,21800,23822.04
2020-10-01T01:00:00+01:00,23858.17,26256.62,21388.17,22790.75
2020-10-02T01:00:00+01:00,22784.83,23278.61,18905.01,21047.03
2020-10-03T01:00:00+01:00,21059.38,21706.17,18500,18850
2020-10-04T01:00:00+01:00,18850,20249,15993.82,19149.94
2020-10-05T01:00:00+01:00,19149.89,20500,17500,19176.46
2020-10-06T01:00:00+01:00,19176.19,19399.99,16040.16,16601.44
2020-10-07T01:00:00+01:00,16586.33,16681.13,13715.47,14853.84
2020-10-08T01:00:00+01:00,14853.88,17338.69,12260,16732.58
2020-10-09T01:00:00+01:00,16728.5,19469.28,15789.59,18040.96
2020-10-10T01:00:00+01:00,18042.64,19400,15835,15995.01
2020-10-11T01:00:00+01:00,15986.1,17700,15032.38,16900
2020-10-12T01:00:00+01:00,16900,17530,15640.16,16521.11
2020-10-13T01:00:00+01:00,16503.32,16690.93,15283.56,15634.07
2020-10-14T01:00:00+01:00,15652.86,16100,13729.48,14578.98
2020-10-15T01:00:00+01:00,14573.7,15800,13933.27,14614.29
2020-10-16T01:00:00+01:00,14607.68,14620.81,13372.36,13403.4
2020-10-17T01:00:00+01:00,13405,14152.54,13120,14039.17
2020-10-18T01:00:00+01:00,14053.07,15782,13931.7,15427.68
2020-10-19T01:00:00+01:00,15429.8,15645,13709.88,13709.88
2020-10-20T01:00:00+01:00,13721.36,14119.99,12720.07,13053.33
2020-10-21T01:00:00+01:00,13053.33,14667,12905.94,13293.14
2020-10-22T01:00:00+01:00,13283.21,14389.47,13132.54,13724.82
2020-10-23T01:00:00+01:00,13722.33,14940.31,13600,14903.15
2020-10-24T01:00:00+01:00,14892.61,15481.15,14535,14872.72
2020-10-25T01:00:00+01:00,14864.85,14900,14150,14297
2020-10-26T00:00:00Z,14289.81,14573.88,13176.7,13589.52
2020-10-27T00:00:00Z,13593.11,14200,13320.21,13372.88
2020-10-28T00:00:00Z,13370.45,13611.29,12000,12556.47
2020-10-29T00:00:00Z,12553.98,12944.98,10511.01,10781.1
2020-10-30T00:00:00Z,10780.08,11971.68,9635.55,11014.56
2020-10-31T00:00:00Z,11011.03,11430.16,10255.7,10492.89
2020-11-01T00:00:00Z,10474.7,11039.14,9978.06,10689.46
2020-11-02T00:00:00Z,10689.31,11221.02,10016.64,10092.3
2020-11-03T00:00:00Z,10092.84,10247.09,9302.65,9351.52
2020-11-04T00:00:00Z,9359.92,9692.87,8231.07,8484.18
2020-11-05T00:00:00Z,8493.32,9908.72,7451.36,8488.35
2020-11-06T00:00:00Z,8478.02,11943,8392.5,11821.27
2020-11-07T00:00:00Z,11821.26,17500,11810.57,14281.47
2020-11-08T00:00:00Z,14297.17,15999,13373.41,15108.29
2020-11-09T00:00:00Z,15102.44,15682,13883.34,15010.12
2020-11-10T00:00:00Z,15029.21,18900,14500.75,18274.93
2020-11-11T00:00:00Z,18266.12,19350,15711.08,16679.56
2020-11-12T00:00:00Z,16674.79,17220,14929.39,15462.62
2020-11-13T00:00:00Z,15448.87,18460,15150,17881.06
2020-11-14T00:00:00Z,17884.84,17922.63,16084.21,17217.05
2020-11-15T00:00:00Z,17238,18436.25,16561,17606.9
2020-11-16T00:00:00Z,17606.68,19149.9,16971.42,18565.47
2020-11-17T00:00:00Z,18554.8,24880,18452,23944.68
2020-11-18T00:00:00Z,23933.16,26190,20511,25444.39
2020-11-19T00:00:00Z,25479.31,29686,24229.65,27800
2020-11-20T00:00:00Z,27803.14,29890,25666,26515.16
2020-11-21T00:00:00Z,26533,27801.55,23425,24479.24
2020-11-22T00:00:00Z,24479.24,27178.24,21442,24419.04
2020-11-23T00:00:00Z,24454.35,26328.28,23200,25216.48
2020-11-24T00:00:00Z,25245.93,26339.37,23294,24749.99
2020-11-25T00:00:00Z,24736.38,24826.45,21500,22324.66
2020-11-26T00:00:00Z,22319.05,23362.68,18228.6,23345.46
2020-11-27T00:00:00Z,23345.46,25581,22222.22,23452.98
2020-11-28T00:00:00Z,23455.14,24444,22546.03,23353.75
2020-11-29T00:00:00Z,23343.82,24963.29,22846.15,24600.71
2020-11-30T00:00:00Z,24624.95,26901.05,24619.35,26470.4
2020-12-01T00:00:00Z,26470.61,28299.92,24166,25684.04
2020-12-02T00:00:00Z,25678.56,31780.41,25335.24,30306.15
2020-12-03T00:00:00Z,30303.17,31306.06,28401,29649.42
2020-12-04T00:00:00Z,29634.9,30576.44,26100,26452.77
2020-12-05T00:00:00Z,26444.55,29549.99,26201,29352.73
2020-12-06T00:00:00Z,29329.99,29520,27848.17,28794.24
2020-12-07T00:00:00Z,28797.57,29405.78,27894.98,28486.5
2020-12-08T00:00:00Z,28480.48,28567.4,24850,25448.82
2020-12-09T00:00:00Z,25468.79,26267.44,23505.97,25556.16
2020-12-10T00:00:00Z,25567.87,25860,23799.68,23974.15
2020-12-11T00:00:00Z,23979.42,24193.87,22051.01,23387.89
2020-12-12T00:00:00Z,23372.21,25820,23329.11,25347.85
2020-12-13T00:00:00Z,25352.72,27300,25352.72,26341.06
2020-12-14T00:00:00Z,26357.24,26358.21,24993.61,25819.99
2020-12-15T00:00:00Z,25820,26435.64,24553.87,24784.11
2020-12-16T00:00:00Z,24782.04,27740.15,24151.11,26965.41
2020-12-17T00:00:00Z,26947.36,28100,25788.02,26599.01
2020-12-18T00:00:00Z,26617.49,28650,25908.16,27869.03
2020-12-19T00:00:00Z,27885.45,28880,27239.47,27604.76
2020-12-20T00:00:00Z,27612.08,27612.08,25291.73,26114.07
2020-12-21T00:00:00Z,26089.18,27102.35,24062.71,24569.93
2020-12-22T00:00:00Z,24558.24,25260.99,22510,24850
2020-12-23T00:00:00Z,24859.76,25489.21,18360.97,20092.38
2020-12-24T00:00:00Z,20119.76,24069.03,19200,24024.95
2020-12-25T00:00:00Z,24038.75,25150,22600.97,23612.29
2020-12-26T00:00:00Z,23605.2,23884.73,21890.99,22588.76
2020-12-27T00:00:00Z,22589.25,25074.26,21611,22785.06
2020-12-28T00:00:00Z,22785.06,24469.99,22526.76,22796.58
2020-12-29T00:00:00Z,22820.47,23178.5,21001,22155.55
2020-12-30T00:00:00Z,22183.1,22750,21393.14,21765.85
2020-12-31T00:00:00Z,21786.5,23512.04,21110,22687.96
